region,country,country.code,rank.intercept,rank.slope,gini,cluster,number.kids,cluster.2
2432,Canada,0,48.22533138,0.123873225,32.03553278,2,930.7234682,1
2433,Canada,0,45.23896352,0.280264541,30.7413813,2,1008.595261,1
2434,Canada,0,46.26758561,0.199524544,31.85366052,2,1290.251546,1
2435,Canada,0,41.66435091,0.322769355,32.05352949,,467.3980451,
2436,Canada,0,38.61634913,0.347401221,34.23006674,2,2011.555036,2
2437,Canada,0,38.71704906,0.293939875,35.53686539,2,4010.591912,1
2438,Canada,0,42.90104759,0.230137904,33.52268291,2,598.9212047,1
2439,Canada,0,40.38499013,0.233133271,34.4350106,2,2276.712356,1
2440,Canada,0,41.17220056,0.311281141,31.51635682,,543.7544658,
2441,Canada,0,37.32145236,0.298231933,35.39590898,2,747.8651175,1
2442,Canada,0,39.88202837,0.292254902,30.69432273,2,1181.511887,1
2443,Canada,0,37.37629107,0.310965027,37.28447975,2,3642.864675,2
2444,Canada,0,39.90738633,0.27074936,31.98764737,,470.6959107,
2445,Canada,0,36.6235323,0.273951662,36.98884492,2,1145.396543,2
2446,Canada,0,36.4541827,0.313072966,33.61190563,2,1475.800622,2
2447,Canada,0,38.73116127,0.255987992,34.68342054,2,2442.0711,1
2448,Canada,0,37.59832414,0.291608967,33.20666822,,581.0404462,
2449,Canada,0,41.2104246,0.236656056,32.39667862,2,2826.3383,1
2450,Canada,0,38.83320022,0.287242613,34.25866995,2,865.9565204,1
2451,Canada,0,40.70757927,0.248540994,36.22563478,2,745.842778,1
2452,Canada,0,39.26914456,0.285602358,34.99385957,2,1209.420963,1
2453,Canada,0,43.10222641,0.270290608,32.68046539,2,1558.734083,1
2454,Canada,0,42.62226975,0.233948375,32.36955017,2,2712.779419,1
2455,Canada,0,44.01981626,0.184880331,32.47811626,2,1118.055984,1
2456,Canada,0,42.18687401,0.222607966,33.47820469,2,3077.149153,1
2457,Canada,0,43.44937174,0.1904075,33.96434026,2,3654.023113,1
2458,Canada,0,38.18297733,0.241657685,42.27556091,2,9137.770676,1
2459,Canada,0,44.50533624,0.177055722,32.45346574,2,3122.193276,1
2460,Canada,0,41.37952388,0.245519404,30.85405173,2,3067.836735,1
2461,Canada,0,41.94606348,0.242066763,36.23087634,2,1672.312252,1
2462,Canada,0,35.42062747,0.318651762,36.16655856,2,1119.649331,2
2463,Canada,0,35.7559362,0.337854261,35.60249124,,1067.725723,
2464,Canada,0,40.70102612,0.236733275,30.93849068,2,3370.431175,1
2465,Canada,0,40.83754929,0.222414288,38.18285357,2,9286.483033,1
2466,Canada,0,36.5157896,0.23046849,50.94382461,2,37020.19747,2
2467,Canada,0,36.59254818,0.307561687,33.32209249,2,4070.414458,2
2468,Canada,0,42.05133122,0.216145884,39.29863434,,734.1149963,
2469,Canada,0,32.72219715,0.368901078,41.2591163,4,693.5463681,2
2470,Canada,0,40.6657927,0.28082768,34.69682544,2,1635.204773,1
2471,Canada,0,43.54405073,0.147625552,32.90515028,2,2799.67429,1
2472,Canada,0,37.70465471,0.275824692,31.34695976,2,2525.902211,2
2473,Canada,0,40.16320232,0.239599868,37.98849834,2,3815.651147,1
2474,Canada,0,42.04991883,0.22550755,31.30089103,2,682.3056144,1
2475,Canada,0,36.98221025,0.284025588,36.02737518,2,2273.623218,2
2476,Canada,0,39.36784685,0.339208172,33.5132601,2,687.8012086,2
2477,Canada,0,39.3019753,0.177640926,45.06053707,2,704.5676889,1
2478,Canada,0,36.51409564,0.260167174,36.88696974,2,902.6079038,2
2479,Canada,0,40.46597196,0.253634231,35.96485895,2,1038.678825,1
2480,Canada,0,45.43863769,0.212706732,35.5306115,2,497.4695495,1
2481,Canada,0,39.96140824,0.296842226,35.03250786,2,5938.127797,1
2482,Canada,0,41.5091885,0.207733031,36.59251072,2,887.471992,1
2483,Canada,0,34.56824365,0.449982463,38.27151447,4,564.7972001,2
2484,Canada,0,41.66326386,0.312146793,41.41659447,2,430.3746217,1
2485,Canada,0,40.98084518,0.29691932,36.13219976,2,573.3308889,2
2486,Canada,0,46.71487142,0.170585804,31.53619245,2,1221.304768,1
2487,Canada,0,47.10008125,0.231910308,31.82066975,2,806.2347502,1
2488,Canada,0,42.98968114,0.329437837,30.48449408,,804.7843679,
2489,Canada,0,42.55289307,0.287806058,34.14796124,2,1240.031302,1
2490,Canada,0,25.50971528,0.658347189,36.25274854,,396.3076694,
2491,Canada,0,42.95983799,0.250383094,31.88241843,2,1379.690421,1
2492,Canada,0,47.45677709,0.15382035,30.12079145,1,1222.192297,1
2493,Canada,0,46.90595128,0.151355099,31.75518315,2,2015.277163,1
2494,Canada,0,44.32596709,0.225848696,31.51776215,2,5870.718989,1
2495,Canada,0,44.53505061,0.164436748,30.68601115,2,412.1510228,1
2496,Canada,0,35.22426313,0.383767372,31.14648848,4,1027.760422,2
2497,Canada,0,36.38465184,0.403939125,33.72328246,4,1108.431838,2
2498,Canada,0,39.24940207,0.4877844,37.73385055,4,422.782533,2
2499,Canada,0,20.55351702,0.594452152,44.25408081,4,1251.144047,2
3501,Canada,0,39.21817397,0.246753035,38.41296633,2,3202.951918,1
3502,Canada,0,43.03982984,0.261043162,33.82573764,2,2096.484636,1
3506,Canada,0,39.02033192,0.190284309,41.1340506,2,17474.71963,1
3507,Canada,0,41.96679318,0.1298761,36.06260293,2,2285.526406,1
3509,Canada,0,39.7825928,0.16760993,38.74823178,2,1652.032298,1
3510,Canada,0,37.96305804,0.212493697,39.52152078,2,3151.114606,1
3511,Canada,0,39.37268347,0.200500848,37.6489739,2,1001.691705,1
3512,Canada,0,38.41473476,0.22372996,36.48110082,2,3244.448444,1
3513,Canada,0,35.72054312,0.272603863,37.0270291,2,739.1492585,2
3514,Canada,0,42.4402921,0.174364858,34.26341178,2,2176.185135,1
3515,Canada,0,39.77134011,0.20762858,38.27109409,2,3196.969769,1
3516,Canada,0,41.29511371,0.201282114,37.18146118,2,1923.845966,1
3518,Canada,0,38.71613203,0.200011707,37.13352152,2,13044.36765,1
3519,Canada,0,38.60914685,0.21576833,47.78903296,3,20374.25661,1
3520,Canada,0,36.40651961,0.20367409,55.8611657,2,47863.04387,2
3521,Canada,0,39.47725749,0.18818889,42.31871054,2,25120.32345,1
3522,Canada,0,46.43101668,0.039547588,35.15522803,2,1231.02868,1
3523,Canada,0,43.6181086,0.130522885,37.96472215,2,5099.100467,1
3524,Canada,0,40.43694205,0.161728262,43.84134074,3,8838.326302,1
3525,Canada,0,37.73749152,0.231868501,41.10063145,2,11796.17375,2
3526,Canada,0,37.09815935,0.199206715,36.80663479,2,10390.18834,1
3528,Canada,0,39.44376718,0.25533807,36.33122192,2,3351.013512,1
3529,Canada,0,36.27097057,0.243495204,39.33341518,2,3264.985229,2
3530,Canada,0,40.44047817,0.197812532,40.18216045,2,11816.20664,1
3531,Canada,0,45.22999138,0.12329486,34.769021,2,2308.557913,1
3532,Canada,0,43.14253375,0.168237195,33.50392855,2,3116.610753,1
3534,Canada,0,40.34429319,0.191782781,36.3002325,2,2366.194699,1
3536,Canada,0,36.56185216,0.263701884,34.64949408,2,3461.745711,2
3537,Canada,0,35.38806341,0.226098763,39.25785652,3,9840.428482,2
3538,Canada,0,40.37780176,0.231180309,34.91043367,2,3818.250726,1
3539,Canada,0,38.67005176,0.19863429,40.17857904,2,10321.43018,1
3540,Canada,0,44.71014059,0.184601863,36.13260774,2,1911.05434,1
3541,Canada,0,46.1251624,0.234347463,36.44462589,1,2252.211037,1
3542,Canada,0,41.35537085,0.228302579,36.4180632,2,2552.911879,1
3543,Canada,0,38.24619986,0.20166343,38.03955171,2,8247.906623,1
3544,Canada,0,36.1814711,0.259966999,35.97060324,2,1406.398795,2
3546,Canada,0,38.94502846,0.312484953,40.70016329,2,368.1810429,1
3547,Canada,0,42.88721649,0.188836111,38.48521825,2,2803.693181,1
3548,Canada,0,41.1643812,0.224720944,41.50954093,2,2245.889123,1
3549,Canada,0,38.97652721,0.238664824,41.09146261,2,1235.805638,1
3551,Canada,0,23.33335276,0.51459593,46.72639136,4,395.1368085,2
3552,Canada,0,41.80255609,0.222050047,34.18830181,2,715.7962636,1
3553,Canada,0,43.44644215,0.255597276,34.5653194,2,4804.408628,1
3554,Canada,0,44.48336561,0.191657836,37.06243928,2,1140.031754,1
3556,Canada,0,42.14946228,0.247284547,34.14473706,2,2783.390512,1
3557,Canada,0,39.43804216,0.231730559,35.06333991,2,3506.078018,1
3558,Canada,0,37.85486547,0.268671218,34.19993637,3,4145.846744,2
3559,Canada,0,38.68764619,0.291707838,38.52596026,2,630.418112,2
3560,Canada,0,22.54280068,0.552629096,48.63391919,4,1832.031373,2
4601,Canada,0,39.37672387,0.270243015,37.25770311,,429.6491939,
4602,Canada,0,39.25168902,0.270218261,35.70794795,2,1751.885891,1
4603,Canada,0,42.10927559,0.239725706,39.75307541,2,1558.726797,1
4604,Canada,0,44.41807492,0.371930957,31.60758927,2,296.8095361,1
4605,Canada,0,47.40182932,0.310939102,35.07636772,1,428.4119257,1
4606,Canada,0,37.94050494,0.476648928,41.81335539,4,347.9212903,2
4607,Canada,0,34.52698622,0.391516214,37.04528083,4,1713.28889,2
4608,Canada,0,40.56523921,0.353856059,38.67861514,2,463.6782781,2
4609,Canada,0,30.59595061,0.510949233,43.21502035,4,772.8062782,2
4610,Canada,0,39.2411737,0.29280577,30.82498773,,272.8850219,
4611,Canada,0,37.11457593,0.237888778,40.68716823,2,15297.23963,2
4612,Canada,0,45.06179257,0.11951267,29.88630138,2,534.4909758,1
4613,Canada,0,39.44160555,0.230639338,35.36523084,2,1147.885087,1
4614,Canada,0,43.84695641,0.221469003,31.86184878,2,530.7991897,1
4615,Canada,0,49.14958728,0.165962828,36.45861972,1,658.1307001,1
4616,Canada,0,39.17883581,0.566045508,39.65371246,4,318.818929,2
4617,Canada,0,39.08680309,0.330903518,40.72509228,2,674.2942607,2
4618,Canada,0,39.16484375,0.334309633,39.40283666,2,630.9311459,2
4619,Canada,0,12.322738,0.504174533,54.02288954,,352.5884727,
4620,Canada,0,38.80110063,0.334497221,36.57576419,2,336.4258883,2
4621,Canada,0,20.42237827,0.618198785,43.38835321,,725.48768,
4622,Canada,0,13.70604784,0.696808604,61.33787589,4,1020.103731,2
4623,Canada,0,14.84450433,0.623091619,53.46697443,,158.5833019,
4701,Canada,0,57.20656247,0.146212382,35.47659467,1,956.7059517,1
4702,Canada,0,56.18189442,0.178943917,34.70128268,1,744.7415168,1
4703,Canada,0,52.3605874,0.307125107,32.96606925,1,572.9751726,1
4704,Canada,0,50.6294593,0.298029945,33.05312938,1,360.9702013,1
4705,Canada,0,51.23968733,0.292669867,37.1999685,1,1274.619383,1
4706,Canada,0,44.82339249,0.245294233,38.3944458,1,6492.40323,1
4707,Canada,0,48.14984816,0.243058677,35.41641181,1,1564.669076,1
4708,Canada,0,50.63541816,0.268239449,34.74363225,1,1077.044805,1
4709,Canada,0,45.79765864,0.347399232,40.80560484,1,1138.283775,1
4710,Canada,0,44.40744104,0.573312914,37.29147158,4,668.1397525,2
4711,Canada,0,43.83516294,0.252547252,39.15557839,2,6555.559658,1
4712,Canada,0,44.57548448,0.341411467,38.30077797,1,798.2035468,1
4713,Canada,0,57.47916421,0.18261497,32.14418488,1,934.7414001,1
4714,Canada,0,48.90476116,0.294064816,36.67144364,1,1341.241625,1
