0.028,0.035,0.035,0.034,0.035,0.029,0.026,0.021,0.018,0.016,0.016,0.016,0.015,0.013,0.010,0.011,0.010,0.010,0.011,0.010,0.010,0.010,0.010,0.009,0.008,0.008,0.010,0.009,0.008,0.010,0.008,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.009,0.007,0.009,0.009,0.007,0.007,0.008,0.008,0.006,0.008,0.007,0.006,0.007,0.007,0.008,0.007,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.008,0.007,0.007,0.007,0.007,0.006,0.007,0.007,0.007,0.006,0.007,0.007,0.006,0.007,0.007,0.006,0.007,0.006,0.006,0.007
0.026,0.024,0.026,0.025,0.024,0.022,0.021,0.020,0.019,0.016,0.015,0.014,0.014,0.012,0.013,0.011,0.011,0.013,0.010,0.010,0.013,0.012,0.011,0.012,0.011,0.010,0.010,0.010,0.010,0.009,0.009,0.010,0.010,0.008,0.010,0.009,0.009,0.007,0.009,0.009,0.010,0.009,0.010,0.008,0.007,0.009,0.008,0.008,0.007,0.007,0.008,0.009,0.008,0.009,0.008,0.007,0.008,0.008,0.007,0.008,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.009,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.008,0.008,0.008,0.007,0.007,0.008,0.007,0.008,0.007,0.007,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.008,0.006,0.007,0.006,0.007,0.007
0.024,0.025,0.024,0.023,0.021,0.020,0.019,0.017,0.019,0.016,0.014,0.013,0.014,0.015,0.013,0.013,0.013,0.012,0.012,0.011,0.014,0.010,0.011,0.011,0.011,0.011,0.011,0.012,0.010,0.010,0.010,0.009,0.009,0.009,0.011,0.010,0.009,0.010,0.009,0.009,0.009,0.009,0.010,0.010,0.009,0.010,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.009,0.008,0.008,0.008,0.008,0.007,0.008,0.007,0.007,0.008,0.008,0.007,0.006,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.007,0.006,0.007,0.008,0.007,0.006,0.007,0.007,0.007,0.007,0.006,0.007,0.008,0.006,0.007,0.007,0.006,0.006,0.006,0.007,0.007,0.006,0.005
0.022,0.024,0.026,0.026,0.022,0.021,0.018,0.016,0.016,0.017,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.013,0.013,0.012,0.010,0.012,0.013,0.011,0.010,0.011,0.011,0.010,0.012,0.011,0.011,0.008,0.011,0.011,0.010,0.010,0.010,0.010,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.008,0.009,0.008,0.007,0.008,0.008,0.009,0.008,0.008,0.007,0.009,0.008,0.008,0.007,0.008,0.007,0.009,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.008,0.008,0.006,0.009,0.007,0.007,0.008,0.007,0.007,0.008,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.006,0.006,0.006,0.007,0.006
0.023,0.022,0.024,0.023,0.022,0.020,0.018,0.018,0.017,0.015,0.014,0.013,0.014,0.014,0.013,0.013,0.012,0.013,0.012,0.012,0.011,0.011,0.010,0.013,0.010,0.012,0.011,0.010,0.009,0.012,0.011,0.011,0.009,0.011,0.011,0.010,0.010,0.010,0.010,0.009,0.008,0.010,0.010,0.010,0.008,0.008,0.009,0.009,0.008,0.008,0.008,0.009,0.008,0.010,0.009,0.008,0.007,0.009,0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.008,0.007,0.008,0.007,0.009,0.007,0.008,0.007,0.008,0.007,0.007,0.007,0.006,0.007,0.007,0.008,0.007,0.008,0.006,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.006,0.006,0.005
0.022,0.024,0.022,0.020,0.022,0.016,0.018,0.019,0.015,0.016,0.016,0.016,0.014,0.014,0.014,0.014,0.012,0.013,0.013,0.011,0.013,0.012,0.012,0.012,0.011,0.012,0.011,0.011,0.010,0.012,0.010,0.010,0.010,0.009,0.011,0.009,0.009,0.010,0.009,0.010,0.010,0.009,0.008,0.009,0.010,0.008,0.010,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.007,0.006,0.008,0.007,0.006,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.008,0.007,0.006,0.007,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005
0.020,0.020,0.021,0.018,0.020,0.019,0.017,0.015,0.016,0.015,0.017,0.013,0.016,0.014,0.013,0.012,0.012,0.014,0.012,0.014,0.013,0.013,0.012,0.010,0.011,0.012,0.011,0.011,0.010,0.010,0.010,0.009,0.010,0.010,0.010,0.011,0.009,0.011,0.009,0.009,0.009,0.010,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.009,0.008,0.009,0.008,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.007,0.007,0.008,0.006,0.007,0.007,0.008,0.007,0.007,0.008,0.007,0.008,0.007,0.007,0.008,0.006,0.008,0.009,0.006,0.008,0.007,0.008,0.006,0.007,0.005,0.006,0.005,0.005
0.022,0.024,0.023,0.019,0.020,0.017,0.017,0.014,0.016,0.014,0.015,0.014,0.014,0.012,0.012,0.013,0.012,0.013,0.013,0.013,0.012,0.012,0.013,0.013,0.012,0.011,0.011,0.012,0.012,0.011,0.011,0.010,0.010,0.011,0.010,0.010,0.010,0.009,0.010,0.011,0.010,0.009,0.009,0.010,0.010,0.010,0.010,0.008,0.008,0.010,0.009,0.008,0.009,0.009,0.008,0.008,0.008,0.008,0.009,0.008,0.009,0.007,0.008,0.007,0.007,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.006,0.008,0.008,0.007,0.006,0.006,0.007,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.006
0.019,0.018,0.020,0.020,0.016,0.016,0.017,0.016,0.014,0.015,0.014,0.015,0.016,0.015,0.014,0.012,0.013,0.013,0.012,0.013,0.013,0.013,0.012,0.013,0.012,0.012,0.010,0.010,0.010,0.010,0.011,0.011,0.010,0.009,0.010,0.010,0.009,0.011,0.011,0.010,0.010,0.009,0.010,0.009,0.010,0.010,0.009,0.009,0.009,0.009,0.009,0.008,0.009,0.009,0.007,0.009,0.009,0.008,0.009,0.008,0.009,0.008,0.008,0.009,0.007,0.008,0.009,0.008,0.009,0.008,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.008,0.007,0.005,0.007,0.006,0.007,0.006,0.006,0.005,0.006,0.006
0.018,0.020,0.019,0.017,0.018,0.018,0.016,0.015,0.015,0.013,0.013,0.015,0.015,0.013,0.012,0.013,0.013,0.012,0.012,0.013,0.010,0.013,0.012,0.012,0.010,0.011,0.012,0.012,0.011,0.011,0.011,0.011,0.010,0.011,0.009,0.010,0.010,0.008,0.009,0.011,0.010,0.009,0.010,0.010,0.009,0.008,0.010,0.010,0.009,0.008,0.010,0.010,0.008,0.010,0.008,0.009,0.009,0.008,0.009,0.008,0.009,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.007,0.010,0.008,0.009,0.008,0.009,0.008,0.007,0.008,0.007,0.008,0.008,0.008,0.007,0.008,0.007,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.006
