Country,Pop3039,PopRelDenmark,Gini85,Elasticity
United Kingdom,9.203,11.27349242,32,0.5
Italy,9.107,11.15546224,31,0.5
United States,43.633,53.4481423,34,0.47
France,8.727,10.69016205,30,0.41
Japan,16.73,20.49403387,30,0.34
Germany,14.353,17.58171344,25,0.32
New Zealand,0.603,0.73815074,27,0.29
Sweden,1.256,1.539147605,20,0.27
Australia,2.955,3.619633029,30.9,0.26
Canada,4.943,6.054380487,29,0.25
Finland,0.732,0.896636161,20.9,0.18
Norway,0.682,0.83556744,22,0.17
Denmark,0.816,1,22,0.15
