census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
Bagot,2440,0,QC,24,2440,1090,1728,0.138,0.024,40.3,1.13,0.018,19950,0.337,0.591,29955,36878,17996,24939,26912,33978,37946,46651,52362,58585,90995,108727,1.000,0.990,0.173,0.201,0.017,-0.001,0.0004,9.47,0.168,0.088,0.0167
Drummond,2441,0,QC,24,2441,2757,3941,0.248,0.015,35.8,0.76,0.065,25103,0.373,0.537,33149,38392,17783,23121,28770,34996,42886,48313,62691,62239,112169,115988,0.989,0.978,0.204,0.277,0.012,-0.002,0.0002,8.66,0.111,0.168,0.0109
Yamaska,2442,1,QC,24,2442,574,953,0.268,0.033,33.8,1.50,0.065,21746,0.357,0.506,29147,36168,16153,21088,25508,33631,37899,46257,55801,59268,85450,111733,0.998,0.993,0.150,0.247,0.022,-0.002,0.0005,8.28,0.237,0.203,0.0236
Saint-Maurice,2443,0,QC,24,2443,3824,5295,0.302,0.012,30.9,0.69,0.105,32693,0.405,0.476,38814,38681,18941,20365,33307,33924,51634,49243,75187,65943,141664,126371,0.995,0.986,0.243,0.340,0.011,-0.003,0.0002,8.43,0.085,0.186,0.0083
Maskinonge,2447,1,QC,24,2447,801,1392,0.291,0.028,30.5,1.18,0.075,20720,0.395,0.480,27260,33835,13840,18976,23014,30150,34561,43335,50554,58998,102412,119105,0.999,0.994,0.181,0.300,0.019,-0.003,0.0004,8.22,0.185,0.202,0.0187
Berthier,2449,0,QC,24,2449,1050,1831,0.240,0.025,34.5,1.09,0.047,21582,0.375,0.517,27216,35080,14257,20371,24392,32027,35840,46485,50559,60543,85586,104099,0.996,0.992,0.198,0.323,0.017,-0.003,0.0004,8.51,0.174,0.176,0.0175
Richelieu,2450,0,QC,24,2450,2211,3251,0.169,0.016,41.3,0.94,0.032,32932,0.380,0.480,38899,40110,19520,23608,34332,37694,52452,53029,74820,67146,128238,118789,0.992,0.990,0.226,0.257,0.013,-0.002,0.0002,9.09,0.122,0.128,0.0119
Saint-Hyacinthe,2451,0,QC,24,2451,2155,3050,0.233,0.016,37.5,0.88,0.062,26543,0.372,0.540,35895,39235,19634,24560,31138,36412,46177,48892,67677,63999,122237,116366,0.996,0.989,0.239,0.210,0.013,-0.001,0.0002,9.08,0.116,0.131,0.0114
Rouville,2452,0,QC,24,2452,1671,2362,0.180,0.020,42.1,1.13,0.034,28013,0.360,0.539,40405,42558,22907,25666,33923,38479,50920,53343,75654,68150,153801,152438,0.952,0.935,0.210,0.189,0.015,-0.001,0.0003,9.16,0.162,0.127,0.0156
Iberville,2453,0,QC,24,2453,918,1361,0.129,0.028,41.3,1.36,0.015,21422,0.337,0.558,31702,37654,18061,23607,28136,35326,39483,48264,57024,62973,96653,116059,0.991,0.985,0.221,0.222,0.020,-0.001,0.0004,9.73,0.214,0.063,0.0211
Missisquoi,2454,0,QC,24,2454,1207,1734,0.181,0.024,40.5,1.17,0.033,22885,0.357,0.578,32279,39254,18642,24269,28710,36020,41527,49136,58018,62738,108155,126586,0.904,0.899,0.232,0.202,0.017,-0.001,0.0003,9.12,0.159,0.127,0.0158
Saint-Jean,2455,0,QC,24,2455,2097,3089,0.237,0.017,37.4,0.92,0.060,27394,0.367,0.534,37097,39504,19700,24198,32082,36175,47094,50279,67567,65776,132514,119753,0.970,0.967,0.256,0.235,0.013,-0.002,0.0002,9.02,0.125,0.136,0.0122
Chambly,2456,0,QC,24,2456,13677,17595,0.221,0.007,39.2,0.44,0.052,32367,0.366,0.489,43530,42365,23953,24896,38350,38696,56320,54013,80454,71246,154386,139003,0.905,0.892,0.279,0.252,0.006,-0.002,0.0001,8.86,0.057,0.152,0.0055
Vercheres,2457,0,QC,24,2457,2820,3941,0.195,0.015,40.5,0.91,0.041,30386,0.339,0.516,42274,41473,23958,25334,38476,38361,54345,52978,75834,66724,124483,126544,0.979,0.974,0.219,0.230,0.013,-0.001,0.0002,9.00,0.128,0.140,0.0123
Joliette,2458,0,QC,24,2458,2321,3365,0.232,0.016,36.4,0.84,0.059,28371,0.387,0.495,34818,38608,16994,22772,29844,35186,45365,48835,67231,63590,124091,121193,0.997,0.990,0.226,0.261,0.012,-0.002,0.0002,8.65,0.121,0.168,0.0119
Montcalm,2461,0,QC,24,2461,847,1490,0.251,0.025,32.3,1.08,0.066,24846,0.412,0.451,27022,33828,11759,20185,23706,30269,36606,43307,55147,57719,93690,101920,0.979,0.974,0.210,0.271,0.018,-0.002,0.0004,8.72,0.150,0.155,0.0152
L'Assomption,2462,0,QC,24,2462,4991,6800,0.225,0.012,36.9,0.66,0.053,27657,0.345,0.536,38314,39512,22410,23286,34705,36141,50067,49910,70366,65134,115308,120511,0.988,0.985,0.226,0.239,0.009,-0.001,0.0002,8.79,0.091,0.156,0.0089
Terrebonne,2463,1,QC,24,2463,8380,11045,0.242,0.009,34.9,0.49,0.062,29121,0.369,0.513,36763,38262,19378,21861,32774,34477,48498,49130,68034,64976,123156,124582,0.969,0.956,0.260,0.294,0.007,-0.002,0.0001,8.87,0.067,0.145,0.0066
Ile-Jesus,2464,0,QC,24,2464,12955,15873,0.191,0.008,41.7,0.47,0.036,29948,0.346,0.528,42164,43548,23918,25299,37331,39223,53866,54321,75466,71617,137673,138931,0.890,0.848,0.255,0.231,0.006,-0.001,0.0001,9.09,0.065,0.132,0.0063
Ile-de-Montreal,2465,0,QC,24,2465,56566,72607,0.257,0.004,37.2,0.21,0.066,30103,0.408,0.510,41226,43277,20855,22996,34067,37659,50959,53645,77723,73527,178565,161042,0.748,0.650,0.305,0.288,0.003,-0.002,0.0000,8.65,0.027,0.172,0.0027
Laprairie,2466,0,QC,24,2466,5102,6676,0.246,0.012,39.2,0.74,0.061,32172,0.350,0.504,44597,44133,25203,25807,38715,40128,57375,55314,80785,73323,152499,137159,0.865,0.845,0.242,0.241,0.010,-0.002,0.0002,8.56,0.101,0.184,0.0097
Napierville,2467,0,QC,24,2467,664,1067,0.185,0.029,40.6,1.42,0.036,25816,0.383,0.521,31532,38641,15543,23701,26263,36028,41359,49283,58124,62982,107210,120570,0.979,0.980,0.212,0.178,0.020,-0.001,0.0004,8.68,0.204,0.172,0.0202
Huntingdon,2468,0,QC,24,2468,422,723,0.324,0.038,29.8,1.62,0.092,21131,0.377,0.468,26708,34505,13952,19431,23323,31709,35083,44822,51577,55705,92303,113585,0.765,0.706,0.220,0.332,0.027,-0.003,0.0006,8.13,0.285,0.210,0.0288
Chateauguay,2469,0,QC,24,2469,2493,3187,0.226,0.018,39.8,1.05,0.049,28938,0.328,0.543,41359,42832,24200,26039,37524,38750,53138,53628,73963,70266,118388,130113,0.785,0.766,0.231,0.246,0.014,-0.002,0.0002,8.96,0.156,0.145,0.0149
Beauharnois,2470,0,QC,24,2470,2144,2789,0.225,0.018,40.6,1.03,0.052,28670,0.345,0.523,37828,42329,21638,25518,34258,39366,50308,53425,68768,68114,110390,126661,0.987,0.976,0.224,0.240,0.014,-0.002,0.0002,8.84,0.144,0.157,0.0140
Soulanges,2471,0,QC,24,2471,598,930,0.223,0.032,39.3,1.63,0.050,23083,0.351,0.573,33921,39924,19913,25230,30669,35803,42996,49858,61035,65897,109519,111165,0.973,0.972,0.196,0.202,0.023,-0.001,0.0005,9.12,0.234,0.129,0.0230
Vaudreuil,2472,0,QC,24,2472,2026,2601,0.182,0.018,41.1,1.08,0.036,29830,0.369,0.527,41374,41740,22586,25579,35827,37635,52415,52333,74431,67530,161741,135169,0.814,0.789,0.242,0.205,0.015,-0.001,0.0002,9.29,0.142,0.112,0.0138
Deux-Montagnes,2473,0,QC,24,2473,3054,4177,0.214,0.015,36.4,0.81,0.046,27987,0.354,0.522,35558,38033,19334,21824,31951,34804,47321,49322,65892,64498,107600,119126,0.940,0.924,0.270,0.278,0.012,-0.002,0.0002,8.71,0.117,0.160,0.0114
Argenteuil,2474,0,QC,24,2474,1036,1560,0.159,0.024,36.7,1.17,0.027,25219,0.392,0.509,31139,35197,14939,20926,27133,33037,40159,45798,59110,58792,101973,104760,0.844,0.850,0.234,0.249,0.018,-0.001,0.0004,9.26,0.173,0.102,0.0172
Papineau,2475,0,QC,24,2475,1217,1928,0.261,0.022,35.9,1.06,0.067,27327,0.399,0.457,29917,37900,13661,20930,25414,34754,40988,49490,60899,64883,95043,97993,0.919,0.911,0.239,0.252,0.016,-0.002,0.0003,8.97,0.141,0.138,0.0141
Labelle,2476,0,QC,24,2476,1072,1772,0.230,0.024,32.6,1.04,0.051,23369,0.389,0.468,27630,33718,13975,18770,22674,31004,37344,44285,52398,57961,97603,88887,0.995,0.996,0.225,0.305,0.017,-0.003,0.0004,8.71,0.157,0.154,0.0158
Gatineau,2478,1,QC,24,2478,2236,3230,0.289,0.016,32.2,0.90,0.087,33694,0.392,0.439,36268,37764,16596,19212,31114,34072,50290,50435,68495,66343,123015,124230,0.748,0.712,0.276,0.338,0.014,-0.003,0.0002,8.16,0.131,0.211,0.0129
Hull,2479,0,QC,24,2479,5840,7274,0.264,0.011,37.9,0.67,0.070,30572,0.348,0.501,39600,41751,22354,24453,37085,39599,52926,54655,70346,70340,118191,116350,0.898,0.902,0.297,0.289,0.009,-0.002,0.0002,8.71,0.084,0.168,0.0081
Pontiac,2480,1,QC,24,2480,596,1059,0.185,0.033,37.8,1.41,0.029,24927,0.399,0.450,25892,36579,11463,20722,22216,31472,36390,48596,50293,64171,82864,110883,0.376,0.354,0.206,0.244,0.021,-0.001,0.0005,9.26,0.203,0.106,0.0207
Temiscamingue,2483,1,QC,24,2483,1764,2483,0.240,0.019,37.1,1.10,0.059,32540,0.375,0.470,39119,39869,19780,22634,34619,37227,52319,53106,72310,68477,127879,117596,0.974,0.956,0.233,0.296,0.016,-0.002,0.0003,8.40,0.152,0.193,0.0148
Abitibi,2484,1,QC,24,2484,3129,4477,0.199,0.014,38.6,0.78,0.043,30864,0.372,0.486,36323,39035,18347,22412,31610,36379,49211,50785,68227,66217,112851,113955,0.990,0.973,0.242,0.255,0.011,-0.001,0.0002,8.92,0.107,0.143,0.0104
Lac-Saint-Jean-Ouest,2490,1,QC,24,2490,2387,3497,0.232,0.016,36.4,0.80,0.055,24243,0.377,0.519,32026,37409,17100,22253,26828,33870,41343,48103,60698,61700,115084,110624,0.999,0.993,0.220,0.260,0.012,-0.002,0.0002,8.69,0.116,0.165,0.0115
Lac-Saint-Jean-Est,2493,0,QC,24,2493,1945,2770,0.144,0.018,39.9,0.96,0.023,26633,0.364,0.539,35722,37924,19983,22947,29980,34693,46615,48657,68454,62469,114999,107776,0.998,0.993,0.239,0.196,0.014,-0.001,0.0003,9.28,0.138,0.107,0.0135
Chicoutimi,2494,0,QC,24,2494,7123,9962,0.208,0.009,36.4,0.54,0.049,32542,0.357,0.498,40095,38607,21982,22702,35124,35038,54523,49821,74700,65424,122882,119732,0.997,0.986,0.226,0.250,0.008,-0.002,0.0001,8.81,0.071,0.152,0.0069
Saguenay,2497,1,QC,24,2497,4295,6424,0.262,0.011,36.0,0.66,0.076,33724,0.375,0.473,39508,39742,19942,23097,35107,37498,53666,52454,76578,67600,120356,111972,0.947,0.926,0.227,0.297,0.009,-0.002,0.0002,7.96,0.093,0.236,0.0090
Territoire-du-Nouveau-Quebec,2498,1,QC,24,2498,899,1348,0.328,0.023,29.5,1.29,0.127,39145,0.425,0.372,34747,35703,12020,18491,31265,33937,51165,49516,73206,63037,109811,97979,0.881,0.768,0.248,0.439,0.021,-0.004,0.0004,7.21,0.189,0.300,0.0187
"Stormont, Dundas and Glengarry United Counties",3501,0,ON,35,3501,4135,5417,0.262,0.013,37.2,0.69,0.068,28478,0.385,0.504,33890,40427,16457,22715,30376,36373,44935,51907,62742,68186,123439,131902,0.104,0.069,0.250,0.248,0.010,-0.002,0.0002,8.57,0.096,0.180,0.0095
Prescott and Russell United Counties,3502,0,ON,35,3502,2179,2958,0.270,0.018,39.5,0.92,0.068,28458,0.385,0.504,32470,41521,15405,24166,29125,38182,43863,54468,59784,70808,115567,120666,0.648,0.661,0.218,0.249,0.013,-0.002,0.0003,8.68,0.122,0.176,0.0121
Ottawa-Carleton Regional Municipality,3506,0,ON,35,3506,22730,27886,0.213,0.006,43.6,0.41,0.043,35594,0.354,0.406,52055,49676,30006,26953,47148,43718,65600,61894,91352,84426,179902,183078,0.101,0.077,0.306,0.231,0.005,-0.002,0.0001,8.96,0.049,0.153,0.0047
Leeds and Grenville United Counties,3507,0,ON,35,3507,3425,4372,0.267,0.015,36.8,0.86,0.064,27211,0.346,0.545,37589,41240,20775,23217,34921,37114,47986,53033,63391,70577,122675,134580,0.007,0.003,0.254,0.304,0.012,-0.003,0.0002,8.45,0.122,0.192,0.0119
Lanark County,3509,0,ON,35,3509,1860,2435,0.215,0.020,38.5,1.11,0.044,27866,0.363,0.531,36537,42287,19567,22773,33093,36632,47433,52157,64720,67962,133299,144244,0.007,0.005,0.272,0.280,0.015,-0.002,0.0003,8.65,0.163,0.171,0.0159
Frontenac County,3510,0,ON,35,3510,4297,5572,0.262,0.013,35.3,0.77,0.069,31220,0.370,0.492,41147,41666,21912,22047,37404,36900,53132,53261,72277,70959,154333,155497,0.007,0.007,0.291,0.312,0.011,-0.003,0.0002,8.48,0.098,0.187,0.0095
Lennox and Addington County,3511,0,ON,35,3511,1531,2039,0.189,0.023,39.2,1.23,0.033,25185,0.339,0.571,35602,39742,21087,22317,32831,36350,46272,50898,62958,66833,112018,128733,0.005,0.005,0.242,0.209,0.017,-0.001,0.0003,9.29,0.179,0.106,0.0175
Hastings County,3512,1,ON,35,3512,4497,5907,0.262,0.013,35.8,0.71,0.064,27722,0.353,0.543,36094,39726,19509,21969,33581,35923,47232,51298,63212,69149,117506,123922,0.018,0.017,0.275,0.285,0.010,-0.002,0.0002,8.62,0.102,0.172,0.0099
Prince Edward County,3513,0,ON,35,3513,847,1144,0.147,0.030,40.6,1.55,0.021,28038,0.377,0.517,34795,38386,17038,20970,30492,35734,45075,51142,64491,64967,128237,122092,0.001,0.004,0.255,0.207,0.022,-0.001,0.0004,9.55,0.237,0.079,0.0232
Northumberland County,3514,1,ON,35,3514,2802,3639,0.159,0.018,42.6,0.96,0.022,25517,0.329,0.581,36280,41668,21223,24307,33992,37738,46740,53795,61728,69277,111088,133131,0.001,0.002,0.261,0.203,0.013,-0.001,0.0002,9.02,0.145,0.137,0.0141
Peterborough County,3515,1,ON,35,3515,4269,5654,0.243,0.013,37.9,0.73,0.057,28531,0.365,0.524,36807,41362,19379,23059,33743,37177,47910,53100,66031,70631,122687,135859,0.001,0.003,0.287,0.258,0.010,-0.002,0.0002,8.83,0.102,0.154,0.0100
Victoria County,3516,0,ON,35,3516,1888,2538,0.194,0.020,41.8,1.04,0.036,27649,0.377,0.504,34095,41885,17111,24384,30016,37859,44759,53317,63387,72014,120289,134082,0.001,0.006,0.268,0.194,0.014,-0.001,0.0003,9.22,0.155,0.119,0.0153
Durham Regional Municipality,3518,1,ON,35,3518,13774,16306,0.168,0.008,47.0,0.53,0.024,28183,0.317,0.506,45429,47693,28751,27714,42491,43832,56934,60867,75568,78641,140083,151756,0.005,0.005,0.270,0.196,0.006,-0.001,0.0001,9.09,0.072,0.139,0.0068
York Regional Municipality,3519,1,ON,35,3519,17226,18782,0.171,0.008,49.2,0.52,0.025,31134,0.362,0.492,52629,54194,30241,29518,44288,46421,61374,64646,87922,88507,218627,213285,0.003,0.003,0.222,0.166,0.006,-0.001,0.0001,9.18,0.073,0.137,0.0069
Toronto Metropolitan Municipality,3520,0,ON,35,3520,75497,88315,0.207,0.003,46.2,0.21,0.039,29341,0.412,0.521,45098,50804,23032,27151,37033,44467,52373,62032,77883,83926,220118,192763,0.004,0.004,0.293,0.219,0.003,-0.001,0.0000,9.01,0.028,0.150,0.0027
Peel Regional Municipality,3521,0,ON,35,3521,27203,29891,0.177,0.006,48.1,0.41,0.025,26662,0.322,0.530,47773,50190,30330,29187,42856,45488,56992,62459,77625,82350,174090,168392,0.006,0.004,0.273,0.174,0.005,-0.001,0.0001,9.38,0.057,0.116,0.0054
Dufferin County,3522,0,ON,35,3522,1476,1839,0.169,0.024,48.8,1.36,0.026,25799,0.337,0.567,38727,47639,22865,29500,34852,44191,48663,60011,65352,76298,126617,145361,0.005,0.008,0.234,0.136,0.016,-0.001,0.0003,8.90,0.198,0.163,0.0192
Wellington County,3523,0,ON,35,3523,5869,6872,0.162,0.012,47.8,0.74,0.024,26868,0.335,0.559,41809,46736,24744,28787,37324,43540,51612,57971,70668,75614,147518,149724,0.003,0.003,0.242,0.165,0.009,-0.001,0.0002,9.09,0.108,0.141,0.0104
Halton Regional Municipality,3524,0,ON,35,3524,13193,15077,0.135,0.009,52.3,0.62,0.015,32271,0.340,0.449,56155,54681,34147,31265,48180,47655,66419,65501,96733,88469,213227,204611,0.007,0.006,0.243,0.149,0.007,-0.001,0.0001,9.51,0.080,0.108,0.0075
Hamilton-Wentworth Regional Municipality,3525,0,ON,35,3525,17323,21307,0.193,0.007,44.4,0.41,0.035,26449,0.352,0.550,41310,45130,24741,26861,37703,41946,51190,57609,71061,74487,145119,139170,0.002,0.003,0.283,0.204,0.005,-0.001,0.0001,9.22,0.053,0.125,0.0051
Niagara Regional Municipality,3526,0,ON,35,3526,16381,19842,0.183,0.007,42.7,0.42,0.033,28326,0.355,0.528,41211,43742,24020,25518,37368,39502,52346,55225,73408,72214,134695,143402,0.009,0.005,0.259,0.224,0.005,-0.001,0.0001,9.13,0.054,0.131,0.0052
Haldimand-Norfolk Regional Municipality,3528,1,ON,35,3528,4050,5312,0.223,0.014,40.4,0.74,0.045,26833,0.363,0.540,34221,41522,17962,23452,30693,38714,44796,53691,62554,68644,112940,133843,0.003,0.002,0.234,0.254,0.010,-0.002,0.0002,8.36,0.116,0.201,0.0113
Brant County,3529,1,ON,35,3529,4336,5279,0.209,0.014,42.1,0.80,0.039,24882,0.344,0.583,38110,43297,22874,25042,34949,40325,47756,54954,64292,71302,134730,137688,0.001,0.004,0.282,0.232,0.011,-0.002,0.0002,8.98,0.109,0.145,0.0106
Waterloo Regional Municipality,3530,0,ON,35,3530,14835,17205,0.176,0.008,46.9,0.47,0.028,25326,0.347,0.573,42737,48183,25649,28645,37771,43192,50975,58372,72119,77131,161611,170047,0.003,0.003,0.271,0.180,0.006,-0.001,0.0001,9.26,0.066,0.126,0.0063
Perth County,3531,0,ON,35,3531,2831,3507,0.178,0.018,46.6,0.96,0.028,24028,0.350,0.589,37205,45176,20765,27783,33058,41853,44793,56415,61566,72617,141345,153471,0.001,0.004,0.200,0.168,0.012,-0.001,0.0002,9.28,0.147,0.123,0.0143
Oxford County,3532,0,ON,35,3532,3831,4770,0.197,0.015,44.5,0.81,0.036,25050,0.336,0.580,37220,44298,21700,27252,33526,41039,46750,55378,64679,69775,128478,134290,0.001,0.003,0.231,0.189,0.010,-0.001,0.0002,9.18,0.121,0.130,0.0117
Elgin County,3534,0,ON,35,3534,3168,4106,0.207,0.016,43.0,0.85,0.037,25879,0.349,0.565,34393,43304,18675,25503,31805,39815,44554,54511,57794,71802,118042,129219,0.002,0.001,0.243,0.206,0.011,-0.001,0.0002,9.04,0.120,0.141,0.0118
Kent County,3536,1,ON,35,3536,4549,5660,0.209,0.014,43.6,0.78,0.040,27310,0.344,0.551,38752,44572,22185,26156,35964,41414,49494,57045,65533,74189,132597,126085,0.004,0.002,0.238,0.238,0.010,-0.002,0.0002,8.85,0.107,0.160,0.0104
Essex County,3537,0,ON,35,3537,14237,16790,0.189,0.008,49.8,0.49,0.035,30117,0.349,0.493,45182,51325,26939,30811,40948,47443,57056,64873,78309,83752,151099,165145,0.004,0.004,0.262,0.185,0.006,-0.001,0.0001,9.06,0.061,0.152,0.0058
Lambton County,3538,1,ON,35,3538,5128,6321,0.186,0.012,42.7,0.78,0.036,32530,0.361,0.484,46814,44166,25959,25810,41552,40401,58489,56432,83122,73441,175753,132107,0.006,0.003,0.231,0.249,0.010,-0.002,0.0002,8.90,0.102,0.152,0.0097
Middlesex County,3539,1,ON,35,3539,13214,16522,0.197,0.008,43.6,0.47,0.037,28481,0.371,0.534,42681,45692,23784,26131,37598,41461,52265,56746,74692,74714,169342,159254,0.002,0.004,0.292,0.241,0.006,-0.002,0.0001,9.00,0.061,0.145,0.0059
Huron County,3540,0,ON,35,3540,2341,3017,0.158,0.019,45.9,0.96,0.023,25383,0.364,0.546,33566,44367,17384,25970,29790,40187,42766,54641,59215,72811,121590,153686,0.000,0.002,0.185,0.208,0.012,-0.002,0.0002,9.17,0.145,0.130,0.0142
Bruce County,3541,1,ON,35,3541,2298,2962,0.176,0.018,46.0,0.97,0.031,30436,0.378,0.493,35799,44145,16762,26846,31137,40710,47198,56942,69008,73512,119430,129876,0.003,0.004,0.192,0.153,0.012,-0.001,0.0002,9.29,0.146,0.119,0.0143
Grey County,3542,0,ON,35,3542,3194,4154,0.170,0.017,44.4,0.82,0.025,23928,0.368,0.549,32731,42453,17272,25005,28837,38553,41199,54548,57500,72509,123319,124752,0.001,0.003,0.226,0.181,0.010,-0.001,0.0002,9.55,0.117,0.091,0.0115
Simcoe County,3543,1,ON,35,3543,9145,11396,0.217,0.010,41.6,0.53,0.042,26482,0.358,0.556,37194,43517,20455,24729,33400,39539,46936,55504,64392,72879,129553,143200,0.005,0.005,0.257,0.240,0.007,-0.002,0.0001,8.73,0.078,0.169,0.0076
Muskoka District Municipality,3544,1,ON,35,3544,1371,2082,0.229,0.022,35.7,1.12,0.048,26163,0.382,0.526,33480,38810,16544,20342,28932,34153,42707,48061,60670,65752,121056,140271,0.000,0.004,0.263,0.282,0.016,-0.002,0.0003,8.67,0.180,0.163,0.0178
Haliburton County,3546,0,ON,35,3546,422,633,0.298,0.040,32.4,1.79,0.081,26930,0.399,0.470,27535,35669,11557,19539,23831,31846,38486,45349,53874,66725,94938,105734,0.002,0.000,0.268,0.330,0.026,-0.004,0.0006,8.69,0.272,0.160,0.0275
Renfrew County,3547,1,ON,35,3547,3567,4788,0.243,0.014,38.9,0.74,0.057,27261,0.375,0.526,34386,41258,17381,23932,31022,36564,44641,52327,62442,69678,125143,123151,0.010,0.007,0.255,0.207,0.010,-0.001,0.0002,9.01,0.102,0.140,0.0100
Nipissing District,3548,1,ON,35,3548,3455,5157,0.261,0.013,36.9,0.71,0.070,31522,0.398,0.482,35231,40384,15577,21940,31822,36507,47099,52693,65766,68379,120209,129990,0.069,0.042,0.307,0.316,0.010,-0.003,0.0002,8.75,0.092,0.162,0.0091
Parry Sound District,3549,1,ON,35,3549,1230,1976,0.201,0.023,37.0,1.07,0.039,26863,0.403,0.465,29844,36854,13273,19960,25379,33063,40136,48793,57095,65242,109194,119744,0.004,0.003,0.285,0.279,0.016,-0.002,0.0003,9.10,0.156,0.121,0.0156
Manitoulin District,3551,1,ON,35,3551,352,711,0.467,0.038,19.5,1.41,0.175,25873,0.483,0.337,20698,27081,5227,10726,15203,22011,31100,40496,46225,53556,82324,102653,0.000,0.000,0.318,0.618,0.027,-0.007,0.0007,5.29,0.281,0.479,0.0296
Sudbury District,3552,1,ON,35,3552,942,1507,0.181,0.026,39.4,1.36,0.031,28497,0.363,0.507,34285,38580,17802,21828,29925,35803,46299,50813,63165,65967,102855,103890,0.081,0.033,0.238,0.241,0.019,-0.001,0.0004,8.65,0.219,0.167,0.0214
Sudbury Regional Municipality,3553,0,ON,35,3553,6934,10373,0.192,0.010,42.1,0.60,0.033,27732,0.343,0.532,40194,43955,24659,23939,36582,39670,52392,56517,70914,73488,126784,145093,0.064,0.032,0.281,0.271,0.008,-0.002,0.0001,8.99,0.078,0.142,0.0075
Timiskaming District,3554,1,ON,35,3554,1458,2212,0.195,0.022,42.3,1.10,0.036,28625,0.388,0.486,33222,41516,15295,22733,29258,38620,43920,53737,64136,71789,111428,122280,0.095,0.053,0.259,0.240,0.015,-0.001,0.0003,9.16,0.164,0.125,0.0162
Cochrane District,3556,1,ON,35,3556,3883,5621,0.239,0.013,39.8,0.76,0.055,30617,0.367,0.502,38629,42621,20350,23801,35551,39995,50966,56010,70876,71254,122056,132936,0.199,0.152,0.269,0.306,0.010,-0.003,0.0002,8.57,0.106,0.181,0.0103
Algoma District,3557,1,ON,35,3557,5431,7321,0.220,0.012,37.9,0.74,0.044,27921,0.322,0.524,43046,41978,27570,23382,39929,37646,55491,53997,75821,71086,116298,134796,0.030,0.018,0.264,0.295,0.010,-0.002,0.0002,8.57,0.098,0.177,0.0094
Thunder Bay District,3558,1,ON,35,3558,6143,7645,0.238,0.011,37.4,0.73,0.053,28601,0.327,0.510,45229,41834,28446,24090,41721,39111,57047,54323,77501,68878,145557,120595,0.012,0.009,0.269,0.288,0.010,-0.002,0.0002,8.30,0.098,0.203,0.0094
Rainy River District,3559,1,ON,35,3559,839,1243,0.244,0.027,37.7,1.49,0.064,33283,0.389,0.454,36818,39135,16432,22867,34532,37728,49715,52267,66854,70270,124580,91536,0.000,0.005,0.246,0.304,0.022,-0.002,0.0004,7.76,0.225,0.253,0.0220
Kenora District,3560,1,ON,35,3560,1924,2931,0.488,0.016,20.2,0.92,0.235,40484,0.413,0.410,36123,36022,11449,13289,34820,33544,51932,51775,70045,67209,112657,109294,0.007,0.005,0.283,0.643,0.014,-0.007,0.0002,4.84,0.134,0.523,0.0133
Division No.1,4601,1,MB,46,4601,622,804,0.316,0.033,31.7,1.68,0.103,32972,0.407,0.417,31814,36872,12917,19392,28471,33779,45889,49338,64361,65694,99767,108016,0.002,0.000,0.227,0.350,0.026,-0.003,0.0005,7.03,0.289,0.321,0.0288
Division No.2,4602,0,MB,46,4602,1966,2376,0.199,0.021,33.5,1.01,0.037,22301,0.324,0.574,31830,34609,18577,20836,28517,31136,40878,43555,55133,58249,96987,103118,0.036,0.013,0.182,0.229,0.016,-0.001,0.0003,8.92,0.181,0.133,0.0177
Division No.3,4603,0,MB,46,4603,1849,2315,0.279,0.020,30.2,0.91,0.075,22617,0.376,0.495,28904,34110,14627,19862,24915,29411,37244,42721,52766,57492,103058,116540,0.007,0.003,0.173,0.274,0.015,-0.002,0.0003,8.33,0.149,0.193,0.0149
Division No.4,4604,1,MB,46,4604,417,513,0.130,0.049,40.8,2.27,0.014,22204,0.357,0.517,30644,37268,16581,20745,24616,33651,38785,49527,55250,63317,120981,116461,0.017,0.007,0.137,0.229,0.033,-0.001,0.0007,7.89,0.452,0.240,0.0446
Division No.5,4605,0,MB,46,4605,595,724,0.243,0.038,35.6,1.83,0.053,23871,0.380,0.487,31809,38490,16077,21194,26143,32667,39948,48255,58839,64896,139931,142390,0.000,0.000,0.151,0.281,0.028,-0.002,0.0006,8.53,0.326,0.178,0.0323
Division No.6,4606,1,MB,46,4606,370,475,0.320,0.050,30.0,2.18,0.079,23481,0.390,0.442,27184,33755,13354,16587,22319,30881,36835,47225,51034,61716,103363,105031,0.000,0.000,0.157,0.411,0.034,-0.004,0.0008,5.60,0.449,0.456,0.0452
Division No.7,4607,0,MB,46,4607,2776,3571,0.492,0.016,16.2,0.81,0.204,27394,0.371,0.491,32674,31437,15299,11855,28478,26723,42692,42974,59147,60936,123150,108356,0.001,0.001,0.273,0.707,0.014,-0.008,0.0003,5.71,0.164,0.429,0.0162
