census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
Halifax County,1209,1,NS,12,1209,11935,14843,0.244,0.008,33.6,0.47,0.060,30034,0.373,0.515,42494,39314,23347,21125,36790,34464,53381,50034,75962,67453,162154,140355,0.004,0.005,0.295,0.312,0.007,-0.002,0.0001,8.56,0.066,0.172,0.0064
Colchester County,1210,1,NS,12,1210,2014,2641,0.289,0.019,30.1,0.96,0.079,23401,0.361,0.549,33174,35686,18608,19806,28879,31099,42009,45394,60307,61312,114420,126326,0.001,0.004,0.265,0.343,0.015,-0.003,0.0003,8.48,0.160,0.175,0.0157
Cumberland County,1211,0,NS,12,1211,1383,1864,0.249,0.024,29.5,1.05,0.057,20994,0.361,0.527,28832,33503,16064,18544,25114,28760,37058,41066,51246,57262,105112,98953,0.001,0.005,0.265,0.309,0.018,-0.002,0.0004,8.40,0.176,0.179,0.0176
Pictou County,1212,1,NS,12,1212,2064,2806,0.250,0.018,31.8,0.88,0.063,22922,0.380,0.552,31815,34850,16990,19659,27951,31517,39913,44537,58263,58701,126001,112685,0.000,0.002,0.255,0.328,0.015,-0.002,0.0003,8.77,0.128,0.149,0.0127
Guysborough County,1213,0,NS,12,1213,659,966,0.145,0.038,38.0,1.51,0.015,19417,0.352,0.475,25390,34982,14340,19922,21792,31082,33758,47065,45813,60111,82731,102669,0.000,0.006,0.299,0.264,0.024,-0.001,0.0006,9.37,0.242,0.091,0.0244
Antigonish County,1214,1,NS,12,1214,1041,1388,0.228,0.028,37.8,1.36,0.045,25460,0.375,0.512,31214,39016,16048,21210,26213,33862,41508,50639,59970,67575,105588,130154,0.002,0.003,0.266,0.285,0.020,-0.002,0.0004,8.60,0.210,0.175,0.0208
Inverness County,1215,1,NS,12,1215,1064,1501,0.250,0.027,37.6,1.29,0.055,24626,0.393,0.503,31651,41071,16151,22052,27218,35307,40777,50916,58936,69127,127589,126298,0.003,0.003,0.258,0.257,0.018,-0.002,0.0004,8.36,0.199,0.199,0.0198
Richmond County,1216,1,NS,12,1216,622,923,0.244,0.034,35.4,1.50,0.052,21940,0.395,0.474,27461,35924,13559,19933,23420,32091,35498,49016,52109,62780,98061,101809,0.002,0.006,0.240,0.301,0.023,-0.002,0.0005,8.66,0.222,0.165,0.0224
Cape Breton County,1217,1,NS,12,1217,6063,7822,0.253,0.012,30.6,0.57,0.057,24236,0.371,0.559,31497,34057,17305,17957,28244,29902,41541,45451,57274,61746,103528,108661,0.001,0.003,0.259,0.380,0.009,-0.003,0.0002,8.19,0.085,0.200,0.0085
Victoria County,1218,1,NS,12,1218,326,485,0.318,0.056,30.4,2.11,0.062,17979,0.334,0.462,23713,33525,13993,19313,20752,29301,31972,42955,43994,61534,78768,90366,0.003,0.000,0.310,0.306,0.036,-0.002,0.0009,6.81,0.439,0.343,0.0444
