child.quintile,bottom,second,third,fourth,top
Bottom,33.7,24.2,17.8,13.4,10.9
Second,28,24.2,19.8,16,11.9
Third,18.4,21.7,22.1,20.9,17
Fourth,12.3,17.6,22,24.4,23.6
Top,7.5,12.3,18.3,25.4,36.5
Bottom,32,20.3,17,15.3,15.5
Second,24,23.2,20.7,18,14.8
Third,18.2,21.3,21.6,20.6,18.8
Fourth,14.6,19.3,21.8,22.8,21.4
Top,11.2,15.9,18.9,23.3,29.5
Bottom,29.1,18.1,15.6,15.4,17
Second,22.5,20.1,16.7,14.1,12.1
Third,21.7,24.7,23.5,22,19.6
Fourth,19,26.1,29.5,29.3,26.8
Top,7.7,10.9,14.8,19.3,24.6
