census.subdivision,census.division,province.name,province,CSD1986_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
440,43,QC,24,2443440,90,198,0.263,0.08,33.1,2.96,0.052,19039,0.392,0.472,23428,40092,10003,20553,21794,36243,29042,55454,47213,70619,85491,153922,1,1,0.233,0.398,0.054,-0.003,0.001,9.2,0.484,0.124,0.05
480,43,QC,24,2443480,290,567,0.211,0.039,40.5,1.97,0.051,25486,0.375,0.505,34764,49473,19009,30337,29710,44674,44495,61578,67320,79556,125518,182136,1,0.983,0.166,0.248,0.03,-0.002,0.001,9.3,0.279,0.128,0.027
500,43,QC,24,2443500,38,55,0.148,0.157,36.3,9.27,0.017,26273,0.233,0.64,40065,44503,26867,22917,37892,40490,53141,60275,64951,71554,70372,162716,1,1,0.184,0.362,0.157,-0.002,0.003,9.3,1.893,0.113,0.18
540,43,QC,24,2443540,1713,2394,0.288,0.018,34.6,1.05,0.094,33695,0.371,0.469,39589,50528,21125,27344,35173,43977,54820,63025,73761,84314,134226,204498,0.998,0.989,0.228,0.361,0.016,-0.003,0,8.6,0.144,0.191,0.014
560,43,QC,24,2443560,130,192,0.155,0.075,36.3,3.4,0.022,22860,0.358,0.532,29012,43215,15795,22064,26940,37694,38655,56453,57812,72619,85881,219066,1,0.977,0.246,0.339,0.058,-0.002,0.001,9.5,0.524,0.097,0.052
600,43,QC,24,2443600,58,124,0.062,0.088,38.9,4.13,0.004,27691,0.454,0.427,31035,38823,11187,18620,24676,39507,38878,58459,72851,69459,141221,96252,1,1,0.241,0.304,0.067,0,0.001,10.6,0.925,-0.041,0.093
700,43,QC,24,2443700,73,163,0.192,0.084,33.6,3.62,0.032,19511,0.411,0.478,29320,41271,15768,21195,25069,34082,35279,54252,49924,75602,180670,209010,1,1,0.164,0.36,0.06,-0.003,0.001,10,0.528,0.037,0.053
120,47,QC,24,2447120,424,593,0.319,0.044,30.6,1.95,0.082,18990,0.343,0.579,29596,42919,18065,23762,26681,36883,37055,53543,49338,74351,95325,158389,0.998,0.988,0.229,0.322,0.032,-0.003,0.001,8.6,0.309,0.185,0.031
140,47,QC,24,2447140,337,463,0.18,0.047,38.3,2.29,0.031,21113,0.386,0.558,34922,46153,19280,27903,28417,38866,40394,59777,62103,77363,166591,213477,1,0.994,0.163,0.296,0.038,-0.001,0.001,9.6,0.369,0.087,0.036
180,47,QC,24,2447180,117,224,0.15,0.08,39.4,3.3,0.015,18529,0.309,0.51,27390,44391,15450,24656,24403,39772,33978,59790,46702,74104,89601,153673,1,1,0.179,0.249,0.051,-0.001,0.001,8.8,0.591,0.173,0.059
200,47,QC,24,2447200,126,248,0.339,0.065,29.7,2.87,0.099,15528,0.333,0.529,29821,42982,19170,26773,24506,36384,34698,53240,54542,76184,102059,153673,1,0.992,0.127,0.384,0.054,-0.002,0.001,7.5,0.569,0.29,0.056
220,47,QC,24,2447220,117,232,0.152,0.071,33.3,2.63,0.02,21800,0.365,0.413,23238,41957,11845,21693,20340,32473,33645,47693,43517,64619,72619,407651,1,0.991,0.188,0.336,0.052,0,0.001,8.8,0.466,0.167,0.047
260,47,QC,24,2447260,131,253,0.242,0.062,32.8,2.68,0.056,21658,0.401,0.446,28519,41595,15638,24242,22559,33885,37297,55097,52877,73566,128020,127065,1,0.977,0.168,0.319,0.047,-0.001,0.001,8.8,0.429,0.165,0.043
280,47,QC,24,2447280,104,194,0.339,0.067,32.3,2.9,0.117,19989,0.381,0.468,28194,42530,15480,27285,24466,39593,35469,57389,53323,71591,107213,125135,1,1,0.135,0.435,0.055,-0.004,0.001,8.1,0.515,0.24,0.052
320,47,QC,24,2447320,33,65,0.078,0.112,34,4.38,0.008,18592,0.375,0.435,24904,35421,10876,22228,22463,33793,29469,50197,47742,57284,83607,81256,1,1,0.091,0.246,0.095,0.002,0.002,10,0.892,0.032,0.09
360,47,QC,24,2447360,70,144,0.404,0.086,23,2.93,0.134,17865,0.417,0.442,21146,33464,9614,15585,17206,29644,27478,48945,45273,61930,101275,101268,1,1,0.157,0.583,0.055,-0.01,0.002,8,0.434,0.231,0.045
400,47,QC,24,2447400,61,144,0.254,0.087,27.5,2.95,0.056,22539,0.385,0.398,20939,33755,8203,22939,18689,31133,30742,39955,38324,62874,75070,76404,1,1,0.23,0.404,0.064,-0.003,0.002,8,0.564,0.231,0.058
440,47,QC,24,2447440,117,245,0.206,0.061,30.4,2.36,0.045,22286,0.389,0.437,24195,35872,12060,22079,22005,32606,34346,46367,46447,63051,85779,88517,1,1,0.162,0.263,0.047,0,0.001,8.5,0.33,0.193,0.034
460,47,QC,24,2447460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,47,QC,24,2447500,25,53,0.197,0.103,34.3,4.55,0.067,23052,0.457,0.452,28817,38962,9231,30463,24560,36724,32284,45708,52871,65923,126716,75971,1,1,0.2,0.196,0.091,0,0.002,10.2,0.724,0.027,0.073
570,47,QC,24,2447570,209,420,0.203,0.058,30.9,2.06,0.029,15170,0.29,0.484,23847,36848,15532,22393,21907,32817,30701,44887,40234,62087,59212,120760,0.995,0.99,0.124,0.397,0.043,-0.002,0.001,9.1,0.387,0.128,0.039
820,47,QC,24,2447820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,49,QC,24,2449120,146,260,0.242,0.061,27.7,2.84,0.057,25179,0.393,0.531,30725,38843,14111,17120,27053,31769,39290,50184,59438,67734,118657,176125,0.986,1,0.253,0.516,0.052,-0.004,0.001,8.6,0.507,0.168,0.051
140,49,QC,24,2449140,260,487,0.196,0.046,35.1,2.17,0.035,25474,0.359,0.572,30088,42745,14897,23738,29288,37755,40370,55315,50541,76061,89685,142346,0.992,0.988,0.219,0.425,0.037,-0.003,0.001,8.4,0.31,0.202,0.031
180,49,QC,24,2449180,130,259,0.321,0.06,30.4,2.62,0.099,26147,0.386,0.482,27220,41595,12947,26220,25059,36328,39094,54205,48730,76240,98722,193862,0.992,0.992,0.154,0.307,0.047,-0.001,0.001,8.7,0.471,0.175,0.048
200,49,QC,24,2449200,83,154,-0.017,0.09,42.2,3.95,0,23235,0.337,0.534,28157,43487,15859,23628,23431,38177,39094,51419,47578,73184,76804,208985,1,1,0.145,0.313,0.065,-0.001,0.001,10.7,0.739,-0.033,0.074
220,49,QC,24,2449220,337,624,0.263,0.039,35.2,1.82,0.067,22748,0.388,0.505,30602,44305,15989,24755,27164,39370,38737,59417,57402,76707,131935,132190,0.994,0.994,0.163,0.262,0.029,-0.001,0.001,9,0.291,0.144,0.029
240,49,QC,24,2449240,181,333,0.429,0.051,27.3,2.45,0.175,24983,0.4,0.509,32948,43879,16985,26010,27780,38472,41968,57002,58413,85492,137543,128884,1,0.978,0.144,0.42,0.044,-0.003,0.001,7.4,0.426,0.307,0.042
270,49,QC,24,2449270,179,311,0.076,0.062,40.3,2.92,0.005,16541,0.302,0.601,31613,42772,21114,25672,28378,38423,37655,57257,56911,76572,78194,139608,1,0.989,0.101,0.309,0.046,-0.002,0.001,10.3,0.511,0.014,0.05
320,49,QC,24,2449320,168,307,0.23,0.066,36.3,2.83,0.038,19874,0.321,0.549,28161,44911,17290,24885,25151,38908,37164,57500,50635,89041,83745,140123,1,0.994,0.125,0.298,0.046,-0.001,0.001,9,0.485,0.154,0.048
340,49,QC,24,2449340,10,19,0.042,0.212,31.2,8.38,0.002,10723,0.38,0.573,25311,32092,16870,20516,21447,32032,27594,42237,51238,62498,80095,62498,1,1,0.2,0.814,0.167,-0.01,0.004,10.3,1.628,-0.01,0.166
360,49,QC,24,2449360,128,253,0.193,0.074,40,2.82,0.026,18259,0.317,0.469,24691,44793,16322,31036,21582,39463,34582,55212,43290,73414,76110,128884,1,1,0.195,0.285,0.047,-0.002,0.001,10.2,0.445,0.035,0.045
380,49,QC,24,2449380,86,165,-0.057,0.074,45.1,3.23,0.004,22945,0.439,0.387,28392,42998,10642,24076,22724,37357,33587,58225,63422,70001,118179,175693,1,0.988,0.128,0.256,0.057,0.002,0.001,11.1,0.562,-0.059,0.057
400,49,QC,24,2449400,191,399,0.404,0.05,27.6,1.9,0.142,19823,0.432,0.366,23454,39277,10854,20764,19411,33778,30677,52398,46875,69900,86544,122057,0.99,0.984,0.209,0.428,0.035,-0.004,0.001,8,0.318,0.247,0.033
450,49,QC,24,2449450,53,110,0.298,0.094,36.6,3.75,0.085,23579,0.421,0.36,24020,43133,9162,26796,20277,41560,32741,60877,57461,71598,72368,109126,0.981,1,0.189,0.223,0.054,-0.002,0.001,9.1,0.527,0.144,0.054
500,49,QC,24,2449500,95,201,0.231,0.079,26.3,2.53,0.042,19556,0.416,0.462,21881,32356,9537,17627,20590,31921,29092,41627,36504,55246,185416,102595,1,1,0.2,0.396,0.057,-0.001,0.002,8.2,0.48,0.209,0.05
540,49,QC,24,2449540,128,276,0.443,0.072,29.2,2.42,0.121,19339,0.411,0.373,20374,41085,8681,22537,17422,34804,28020,55717,40066,69555,65479,140578,1,1,0.188,0.401,0.043,-0.004,0.001,8.6,0.51,0.181,0.053
570,49,QC,24,2449570,45,85,0.201,0.091,37.5,3.93,0.055,30026,0.39,0.412,26228,42172,11548,29329,21521,38193,41575,56869,51512,68052,76450,82197,1,0.978,0.178,0.235,0.073,-0.001,0.002,9.3,0.564,0.128,0.057
600,49,QC,24,2449600,139,235,0.149,0.077,40.1,3.44,0.016,16063,0.264,0.65,29819,45169,20023,29449,29741,41892,36086,55984,47102,72026,74081,173556,1,1,0.173,0.275,0.058,-0.001,0.001,9.4,0.756,0.108,0.074
919,49,QC,24,2449919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,50,QC,24,2450120,47,81,0.329,0.125,32.6,4.51,0.081,13559,0.283,0.492,24170,41639,14342,27333,22321,40419,27901,50199,47557,65550,57497,141746,1,1,0.149,0.413,0.089,-0.005,0.002,7.7,1.036,0.285,0.104
180,50,QC,24,2450180,41,78,-0.022,0.125,43.5,4.98,0,13636,0.288,0.436,26969,41456,18249,29447,21679,37732,31885,48753,54136,71930,81846,126350,1,0.976,0.049,0.239,0.085,-0.001,0.002,9.9,1.242,0.06,0.123
200,50,QC,24,2450200,40,71,0.149,0.121,37.6,5.65,0.021,20864,0.331,0.582,33455,41656,18249,24838,26899,40743,39113,51093,54941,67699,200921,98580,1,1,0.075,0.422,0.099,-0.005,0.002,8.7,1.108,0.177,0.108
280,50,QC,24,2450280,123,221,0.189,0.067,38.5,3.21,0.035,24741,0.355,0.528,31528,45185,17477,27085,27739,39784,42217,57316,58884,80307,145615,124257,0.976,0.967,0.171,0.255,0.053,0,0.001,9.4,0.543,0.115,0.054
320,50,QC,24,2450320,32,58,-0.175,0.161,57.3,8.59,0.021,15553,0.299,0.658,36870,52610,26639,28821,32036,38852,42191,61448,74448,100779,95569,177463,1,1,0.063,0.473,0.125,-0.004,0.002,7.6,1.062,0.287,0.103
360,50,QC,24,2450360,247,458,0.246,0.041,34.9,2.04,0.074,27344,0.392,0.483,33043,44137,16842,26978,26876,38705,44187,56801,69277,74735,103469,155162,0.996,0.976,0.146,0.341,0.032,-0.003,0.001,8.7,0.274,0.182,0.027
400,50,QC,24,2450400,72,133,0.061,0.102,44,5.02,0.003,18685,0.293,0.678,32562,46544,24256,22906,30097,42746,42941,61713,56448,81494,86299,167948,1,0.972,0.153,0.071,0.068,0.002,0.001,10.8,0.866,-0.026,0.085
500,50,QC,24,2450500,120,218,0.135,0.059,41,3.08,0.023,26446,0.332,0.536,33998,43886,19818,29553,30099,42823,46264,57262,60415,70961,86556,84920,1,0.967,0.242,0.287,0.054,-0.002,0.001,9.6,0.499,0.089,0.049
550,50,QC,24,2450550,156,319,0.307,0.051,31.6,2.31,0.103,26770,0.4,0.416,28802,42211,13516,24151,22556,36349,40286,54987,57831,73766,116159,127830,1,0.987,0.179,0.363,0.039,-0.004,0.001,8.3,0.404,0.214,0.04
600,50,QC,24,2450600,1232,1783,0.161,0.022,44.8,1.44,0.028,34903,0.33,0.489,46777,54844,28662,31956,40857,49609,63566,68215,86521,90344,134138,207782,0.989,0.977,0.173,0.226,0.021,-0.001,0,9.2,0.194,0.144,0.018
650,50,QC,24,2450650,187,287,0.167,0.052,37.2,2.86,0.035,34226,0.387,0.439,38039,43574,19896,27937,31884,41634,54122,56761,67308,75140,125177,111367,1,1,0.225,0.34,0.048,-0.002,0.001,8.6,0.403,0.182,0.039
700,50,QC,24,2450700,1671,2502,0.236,0.019,38,1.09,0.061,31493,0.361,0.491,40882,50293,22867,28692,36650,45537,54360,64879,75908,83226,124562,183556,0.997,0.986,0.2,0.338,0.016,-0.003,0,8.7,0.157,0.183,0.015
750,50,QC,24,2450750,429,622,0.204,0.037,40.3,2.16,0.046,27011,0.321,0.558,40153,50557,24116,31316,36805,46826,51127,61292,71687,79700,108048,190575,0.998,0.988,0.198,0.189,0.032,0,0.001,9.3,0.314,0.128,0.03
780,50,QC,24,2450780,249,357,0.27,0.055,34,3.35,0.063,30247,0.335,0.586,44983,50360,26313,26013,36946,44847,56560,64887,79413,81490,137668,192558,0.992,0.992,0.253,0.396,0.051,-0.003,0.001,7.3,0.697,0.305,0.066
120,51,QC,24,2451120,181,319,0.015,0.053,49.4,2.46,0,24225,0.346,0.526,29739,48980,16538,31844,26424,46005,40764,56959,54761,75670,87378,232173,1,0.994,0.149,0.182,0.038,0,0.001,10.9,0.338,-0.024,0.034
160,51,QC,24,2451160,47,82,0.06,0.1,45.6,5.27,0.004,25046,0.347,0.519,34845,45316,19047,31788,28980,46707,44093,57580,73797,73776,98815,95674,1,1,0.234,0.06,0.083,0.003,0.002,11,0.854,-0.041,0.083
200,51,QC,24,2451200,116,144,0.175,0.084,39.3,4.65,0.03,22378,0.332,0.58,40049,50818,24304,31564,34228,42028,46682,59103,69401,74198,142410,228876,1,0.991,0.164,0.396,0.074,-0.004,0.001,8.2,0.833,0.234,0.08
260,51,QC,24,2451260,104,182,0.148,0.07,37.6,3.39,0.025,23931,0.364,0.534,31948,46285,17291,27154,28396,37648,41222,56276,59695,69615,84707,405290,0.99,0.981,0.144,0.299,0.058,-0.001,0.001,8.4,0.549,0.209,0.054
280,51,QC,24,2451280,116,196,0.074,0.073,42.7,3.84,0.005,22281,0.327,0.556,35226,47180,20955,28017,32669,40144,43236,57311,70950,84394,86562,205404,1,0.974,0.129,0.327,0.06,-0.002,0.001,9,0.646,0.151,0.063
320,51,QC,24,2451320,83,134,0.316,0.066,35.8,3.63,0.149,30825,0.365,0.479,38294,49908,19993,33782,32651,46187,50818,58182,71495,75327,139741,163928,0.988,0.964,0.181,0.331,0.057,-0.004,0.001,8,0.502,0.258,0.049
340,51,QC,24,2451340,86,156,0.125,0.078,39.9,3.82,0.016,31056,0.404,0.474,32474,45053,12337,27524,29266,39010,43393,55950,58024,80692,100669,169861,0.977,0.93,0.291,0.34,0.064,-0.001,0.001,9.4,0.592,0.114,0.059
400,51,QC,24,2451400,160,281,0.124,0.062,44.9,2.68,0.014,19048,0.327,0.515,29359,47698,16418,31842,25808,44698,35466,58436,56898,78315,82876,134654,1,0.988,0.231,0.269,0.042,-0.003,0.001,9.5,0.527,0.11,0.052
420,51,QC,24,2451420,267,422,0.304,0.051,37.5,2.86,0.079,23086,0.271,0.639,38361,53583,25403,31905,36978,47527,48489,65567,60500,85691,105344,227850,1,0.985,0.139,0.257,0.043,-0.002,0.001,9.1,0.432,0.158,0.042
460,51,QC,24,2451460,3206,4254,0.241,0.014,37.1,0.79,0.065,27070,0.381,0.542,40059,50336,22349,29211,33864,43070,49420,60842,72899,83596,164925,192462,0.998,0.989,0.229,0.285,0.012,-0.002,0,9.1,0.111,0.148,0.011
480,51,QC,24,2451480,111,143,0.203,0.079,36.6,4.15,0.045,22529,0.298,0.652,36226,45664,22792,29591,31840,39515,45321,54645,62750,81545,103762,145493,1,0.982,0.252,0.134,0.063,0,0.001,9.3,0.725,0.121,0.07
520,51,QC,24,2451520,71,126,0.098,0.099,38.7,4.43,0.008,19221,0.344,0.448,28930,44702,17043,19640,23530,39320,36264,55045,55535,72472,97111,263120,1,1,0.042,0.253,0.07,0,0.002,10.5,0.991,-0.009,0.098
600,51,QC,24,2451600,100,216,-0.162,0.079,41.1,2.59,0.02,14136,0.318,0.431,22143,36675,12823,23221,20253,32793,26959,44668,32861,60722,69171,92754,0.99,0.99,0.26,0.146,0.052,0.004,0.002,11,0.531,-0.065,0.054
700,51,QC,24,2451700,125,225,0.325,0.07,32.8,3.15,0.089,18742,0.359,0.568,31133,46563,18848,27919,26474,39463,37590,58110,48933,77413,123766,183952,1,0.992,0.16,0.428,0.051,-0.005,0.001,8.3,0.485,0.223,0.048
780,51,QC,24,2451780,40,79,0.257,0.115,37.4,4.81,0.06,19270,0.326,0.584,27049,45807,19456,30136,26801,40461,38726,57799,43713,73939,96533,125209,0.95,0.975,0.2,0.266,0.087,-0.002,0.002,10.9,0.495,-0.027,0.05
120,52,QC,24,2452120,120,209,0.409,0.069,31.7,3.17,0.145,23190,0.319,0.606,30079,47494,15998,29057,29607,45066,39188,57179,48792,78095,103983,172621,1,0.983,0.175,0.402,0.054,-0.005,0.001,8,0.453,0.253,0.045
160,52,QC,24,2452160,47,83,0.21,0.105,30.6,5.14,0.047,19826,0.276,0.624,34093,40961,20553,29690,31422,35686,40379,45805,51679,61813,112101,250231,1,1,0.128,0.488,0.111,-0.004,0.002,6.3,1.427,0.406,0.138
200,52,QC,24,2452200,176,302,0.196,0.052,37.5,2.68,0.045,23689,0.352,0.547,35181,44785,20726,28229,27883,41587,44415,56785,66604,77535,117733,123812,0.989,0.989,0.136,0.338,0.046,-0.002,0.001,8.9,0.495,0.159,0.048
240,52,QC,24,2452240,362,624,0.147,0.043,40.2,2.01,0.019,20160,0.336,0.584,32218,46447,18725,27693,28617,41368,38885,57282,53208,80181,143776,182264,1,0.978,0.185,0.229,0.032,0,0.001,9.8,0.325,0.071,0.032
280,52,QC,24,2452280,31,56,0.393,0.117,28.4,5.93,0.171,21914,0.332,0.533,32352,44274,19175,30673,32759,40473,41089,55003,63394,78579,72738,116354,1,1,0.161,0.463,0.098,-0.006,0.002,6,0.973,0.449,0.096
320,52,QC,24,2452320,91,172,-0.118,0.086,45.5,3.39,0.011,18568,0.327,0.571,26018,40215,14790,25294,27451,39591,33358,52809,40784,65007,84124,139299,0.978,1,0.209,0.082,0.059,0.005,0.001,11.1,0.646,-0.073,0.065
360,52,QC,24,2452360,82,135,0.339,0.087,25.4,4.77,0.101,23531,0.332,0.598,39254,42760,22975,22303,35375,37835,46505,56310,58782,72309,174437,172848,1,0.976,0.134,0.387,0.084,-0.002,0.002,5.6,1.041,0.463,0.1
380,52,QC,24,2452380,97,165,0.132,0.08,42.7,3.98,0.016,23692,0.329,0.513,32870,47844,17543,26701,30948,42515,41235,58230,59677,79617,102930,139806,1,0.979,0.175,0.267,0.058,-0.002,0.001,9.9,0.78,0.065,0.076
400,52,QC,24,2452400,364,615,0.215,0.039,38.9,2.11,0.047,21559,0.304,0.594,36224,49205,23465,31097,33625,43650,45025,57234,63800,81364,99455,181122,0.992,0.986,0.159,0.357,0.036,-0.003,0.001,9.2,0.339,0.135,0.033
420,52,QC,24,2452420,146,250,0.338,0.059,32.3,2.9,0.118,22257,0.323,0.544,32577,46797,19255,31738,29467,39905,41512,54618,58257,75227,92470,184428,1,0.993,0.212,0.449,0.052,-0.005,0.001,7.9,0.524,0.261,0.051
440,52,QC,24,2452440,149,216,0.121,0.067,42.8,3.72,0.015,18906,0.319,0.622,38830,49035,25814,30803,34367,43665,44720,57763,70920,77751,127195,212709,1,0.96,0.181,0.257,0.061,-0.001,0.001,10.5,0.597,0.008,0.058
480,52,QC,24,2452480,70,102,0.297,0.089,27.4,5.35,0.099,28624,0.378,0.501,45360,42611,26159,21894,37616,39358,54783,55338,84122,73411,170814,200327,0.986,0.986,0.114,0.415,0.09,-0.003,0.002,6.2,1.012,0.405,0.096
550,52,QC,24,2452550,263,444,0.094,0.047,43.4,2.25,0.009,27210,0.409,0.488,31768,47234,13256,28542,28450,42733,40466,57913,57840,81333,156609,151495,0.985,0.962,0.224,0.275,0.034,-0.001,0.001,8.7,0.346,0.186,0.035
600,52,QC,24,2452600,244,419,0.095,0.048,41.9,2.37,0.009,22290,0.365,0.523,33806,45885,18189,27773,29376,40830,40479,55813,61458,78439,132142,153752,0.988,0.98,0.16,0.228,0.036,-0.001,0.001,9.5,0.451,0.099,0.044
700,52,QC,24,2452700,369,511,0.246,0.045,38.6,3.1,0.055,38917,0.338,0.467,53820,55930,29797,31635,47590,49394,68715,72896,92997,93980,193164,227708,0.713,0.659,0.195,0.258,0.039,-0.002,0.001,9,0.52,0.158,0.049
780,52,QC,24,2452780,965,1370,0.245,0.026,38.2,1.8,0.06,40733,0.37,0.431,56895,57724,30645,31278,45964,48325,71378,68561,103275,99399,221518,293279,0.912,0.892,0.193,0.311,0.025,-0.002,0,8.8,0.269,0.179,0.025
120,53,QC,24,2453120,63,118,-0.011,0.098,47,3.74,0,18970,0.337,0.413,25167,45369,13486,29809,20364,42245,32455,58249,44867,69886,106956,140892,0.968,0.921,0.143,0.172,0.058,-0.001,0.002,10.4,0.718,0.016,0.072
200,53,QC,24,2453200,84,154,0.12,0.086,36.5,3.77,0.013,18703,0.317,0.548,30268,43095,17831,27596,25033,37196,36534,51504,51721,70065,143686,341969,0.976,0.988,0.155,0.256,0.069,0,0.002,8.4,0.796,0.201,0.078
280,53,QC,24,2453280,17,34,0.353,0.205,38.3,9.66,0.085,12301,0.248,0.71,31898,49954,24878,35511,28019,45200,37179,74702,54886,82093,74983,83044,1,1,0.118,0.484,0.127,-0.008,0.003,8.1,1.325,0.254,0.129
320,53,QC,24,2453320,128,234,0.292,0.075,35.7,3.16,0.062,16917,0.367,0.503,28809,48169,15599,25824,24799,39659,32516,58703,50817,95332,99363,325585,0.992,0.953,0.164,0.286,0.051,0,0.001,9.3,0.58,0.12,0.058
400,53,QC,24,2453400,89,149,0.345,0.088,35.7,4.19,0.095,19307,0.322,0.633,33403,51948,20675,32683,29599,44387,39983,60684,52475,81506,228882,256245,0.966,0.955,0.202,0.356,0.077,-0.001,0.002,8.1,0.734,0.248,0.072
480,53,QC,24,2453480,63,116,0.035,0.099,44.2,4.51,0.001,21470,0.334,0.539,31665,46297,15532,30130,28865,37571,37002,56894,52913,72561,174775,175726,0.968,0.984,0.095,0.446,0.068,-0.006,0.001,10.3,0.86,0.024,0.084
510,53,QC,24,2453510,114,210,0.252,0.073,36.5,2.75,0.054,18919,0.343,0.405,24203,44479,12563,29043,19567,35714,31482,50947,43735,86499,84337,156420,1,0.991,0.132,0.225,0.045,-0.001,0.001,8.7,0.565,0.186,0.057
550,53,QC,24,2453550,81,146,0.275,0.072,36,3.34,0.091,19929,0.378,0.564,30810,44100,17036,30411,26737,43615,36965,56558,56156,72002,154743,118955,1,0.988,0.16,0.366,0.056,-0.005,0.001,8.4,0.437,0.215,0.043
600,53,QC,24,2453600,159,290,0.297,0.06,32.4,2.76,0.078,24894,0.352,0.543,29436,47126,14700,23041,27679,37599,39594,52584,53909,78063,103654,225674,0.994,0.95,0.138,0.437,0.049,-0.003,0.001,9.3,0.412,0.125,0.041
700,53,QC,24,2453700,849,1119,0.262,0.03,34.6,1.57,0.065,23524,0.336,0.576,36000,47616,21446,27062,32056,40907,44970,60136,63198,79359,116343,188339,0.985,0.974,0.201,0.339,0.026,-0.002,0,8.7,0.26,0.183,0.025
780,53,QC,24,2453780,418,558,0.118,0.041,40,2.1,0.015,22891,0.336,0.57,35999,45082,20823,28033,30544,40866,43714,54405,63630,75655,133322,168132,0.995,0.988,0.211,0.212,0.036,0,0.001,9.9,0.368,0.061,0.036
140,54,QC,24,2454140,45,81,0.163,0.103,46.5,5.04,0.031,40831,0.445,0.46,30549,53133,6342,28554,24265,51684,47173,70808,57823,83421,97924,167981,0.756,0.778,0.156,0.275,0.076,-0.001,0.002,9.9,0.659,0.084,0.066
180,54,QC,24,2454180,13,23,-0.018,0.195,44.2,9.32,0,40669,0.449,0.425,29773,44154,10465,29571,31921,34251,51133,50084,55162,96392,104400,105652,0.692,0.692,0.231,0.364,0.131,-0.005,0.003,7.5,1.098,0.308,0.111
200,54,QC,24,2454200,50,89,0.02,0.123,41,5.59,0,17532,0.299,0.541,30332,41154,19223,19266,27776,42286,36755,55041,54511,74413,87474,150705,0.78,0.82,0.1,0.346,0.091,-0.002,0.002,9.5,1.329,0.09,0.131
220,54,QC,24,2454220,28,44,0.118,0.137,44.7,6.85,0.017,23082,0.284,0.596,32840,50777,22317,31824,31360,44062,45399,50711,60603,78827,65685,204965,1,0.929,0.036,-0.044,0.1,0.004,0.002,9.1,1.154,0.154,0.112
240,54,QC,24,2454240,21,45,0.377,0.124,28.5,5.28,0.177,29942,0.577,0.27,24350,48629,2374,21823,13178,31096,32316,51735,69845,91000,105237,259285,0.619,0.762,0.333,0.352,0.098,-0.001,0.002,8.7,0.659,0.189,0.07
260,54,QC,24,2454260,18,35,0.332,0.173,17.8,8.05,0.1,21946,0.353,0.49,29948,33204,18948,16321,23509,23168,40894,26675,61403,75568,71456,122225,0.667,0.722,0.222,0.808,0.141,-0.007,0.003,7.7,1.633,0.238,0.162
280,54,QC,24,2454280,27,46,0.156,0.123,41.2,6.18,0.035,29293,0.39,0.441,32626,44674,13604,33472,27891,40844,42897,56737,66916,77216,105237,88428,0.593,0.667,0.222,0.376,0.119,-0.002,0.002,9.7,1.267,0.078,0.125
310,54,QC,24,2454310,44,76,0.147,0.131,47.5,5.56,0.017,21016,0.359,0.498,27247,57989,14956,30082,25523,45977,35972,68788,45618,84978,81698,271703,0.977,0.977,0.25,0.386,0.08,-0.005,0.002,10.2,0.971,0.05,0.098
320,54,QC,24,2454320,33,56,0.423,0.109,31.3,5.62,0.219,25925,0.354,0.495,35001,61301,16643,36162,25469,45952,42568,55854,69229,86649,94710,457361,0.909,0.939,0.182,0.385,0.096,-0.004,0.002,3.1,1.403,0.74,0.137
360,54,QC,24,2454360,149,256,0.189,0.066,40.4,3.45,0.032,24552,0.349,0.576,37385,50988,21352,29363,29543,44219,45905,62191,67105,82065,189951,179594,0.799,0.805,0.161,0.404,0.053,-0.003,0.001,8.3,0.572,0.219,0.055
380,54,QC,24,2454380,30,55,-0.292,0.143,71,7.55,0.073,23162,0.366,0.541,36599,59890,22020,36722,30351,51130,45182,86866,65477,106597,139021,128701,1,0.933,0.367,0.034,0.084,0.002,0.002,12.6,0.913,-0.179,0.089
400,54,QC,24,2454400,34,69,0.215,0.104,32.7,4.52,0.06,19197,0.366,0.505,27947,41514,16880,24909,22393,36064,36078,45362,50606,65535,95916,165364,0.647,0.559,0.265,0.188,0.069,-0.002,0.002,9.5,0.662,0.096,0.066
450,54,QC,24,2454450,156,270,0.207,0.063,33,2.94,0.039,19634,0.301,0.584,31081,42800,19989,24519,27328,36577,39623,50037,56201,70319,90797,214860,0.821,0.763,0.205,0.373,0.053,-0.003,0.001,8.5,0.608,0.19,0.06
480,54,QC,24,2454480,1092,1448,0.221,0.025,36.4,1.33,0.05,22669,0.341,0.591,35936,47402,21680,28378,31727,40816,44348,57294,64939,79292,109753,174692,0.897,0.886,0.22,0.32,0.022,-0.002,0,8.7,0.22,0.18,0.021
