census.subdivision,census.division,province.name,province,CSD1986_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
239,1,NL,10,1001239,219,340,0.167,0.062,41.5,2.66,0.021,20968,0.371,0.474,27285,46488,13868,24694,24237,42059,34835,62898,50257,85364,91247,131860,0,0,0.237,0.238,0.037,-0.001,0.001,9.4,0.512,0.114,0.051
243,1,NL,10,1001243,194,303,0.276,0.068,34.8,2.71,0.052,18458,0.345,0.514,25977,44408,14232,22747,24006,38649,32690,57686,43568,73217,77093,121802,0,0,0.263,0.305,0.041,-0.003,0.001,8.6,0.45,0.186,0.045
246,1,NL,10,1001246,85,135,0.252,0.108,40,4.1,0.039,20100,0.345,0.474,24474,46502,12968,24722,24992,44942,33069,60703,36127,81420,75784,162943,0,0,0.259,0.195,0.063,0.001,0.002,9.5,0.649,0.111,0.066
250,1,NL,10,1001250,158,244,0.337,0.075,36.6,3.5,0.077,22862,0.32,0.546,31020,50424,16846,27721,27990,44699,39708,68409,55132,90680,91838,144965,0,0,0.253,0.272,0.051,-0.001,0.001,7.3,0.829,0.325,0.081
254,1,NL,10,1001254,62,97,-0.529,0.168,61,5.07,0.095,13739,0.271,0.518,21084,46253,12454,29108,21977,41079,26192,60425,31185,78902,48269,132444,0,0,0.323,0.059,0.079,0.005,0.003,14.5,1.133,-0.402,0.115
259,1,NL,10,1001259,81,133,0.357,0.164,38.3,4.54,0.035,7733,0.25,0.267,19498,45663,14819,23074,17109,42334,22552,61661,32289,82905,59675,145083,0,0,0.222,0.339,0.07,-0.004,0.003,7.4,1.024,0.321,0.105
263,1,NL,10,1001263,61,89,0.017,0.125,50.5,6.89,0,19068,0.276,0.665,38636,50397,26995,27646,33336,48964,46063,69580,70200,85535,117694,190101,0,0,0.131,0.115,0.093,0.001,0.002,10.4,1.64,0.025,0.157
267,1,NL,10,1001267,112,167,0.458,0.105,32.4,3.45,0.103,13913,0.337,0.338,21889,46905,14183,23267,19397,36408,28096,58731,34063,78598,86550,284175,0,0,0.321,0.19,0.049,-0.001,0.002,8.8,0.652,0.179,0.067
270,1,NL,10,1001270,111,160,0.243,0.096,42.6,3.99,0.039,18662,0.326,0.574,26758,49612,16673,29707,26248,43576,35335,67688,48176,81980,78103,132473,0,0,0.207,0.2,0.053,-0.001,0.001,8.9,0.524,0.175,0.053
274,1,NL,10,1001274,47,78,0.304,0.166,34.6,5.34,0.042,17190,0.329,0.343,20758,41951,11321,23706,18559,33519,28512,58046,41795,76672,50126,132584,0,0,0.191,0.54,0.083,-0.009,0.003,9.6,1.12,0.085,0.115
