cluster.id,region.number,number.kids,region.pop,intercept,slope,p15,p11,income.parent.mean
1,217,623,20020,42.7,0.224,10.5,24.6,70183
2,286,4663,140088,33.4,0.342,8,34.4,94447
1,68,146,4031,47.5,0.234,16.9,21.3,67499
2,161,430,16233,39.7,0.227,6.2,26.5,61316
3,129,2386,76191,36.3,0.308,9.8,32.1,100962
4,145,2323,63653,30.4,0.381,6.5,37,89172
