percentile,parent.cdn,parent.us,child.cdn,child.us
1,1810,1700,960,-43800
5,9070,9200,5730,0
10,13450,15000,9650,2300
20,22590,24900,17860,11000
50,52890,59500,39980,34600
80,89750,107900,80140,74400
90,113730,144500,108270,99900
95,140000,194300,132000,125300
99,246760,420100,183920,193300
100,0,1408800,0,408400
