cluster.id,region.number,number.kids,region.pop,intercept,slope,p15,p11,income.parent.mean
1,402,2137,65750,40.1,0.239,10.7,27,83508
2,556,8411,245948,32.3,0.345,7.4,34.1,87246
1,153,350,9021,46.3,0.237,16,22.2,72841
2,342,1421,44988,38.3,0.253,8.1,28,64745
3,149,5822,178081,34.1,0.321,8.6,32.8,100457
4,314,2956,79608,29.6,0.376,5.9,36,68953
